scenario,region,sector,subsector,year,value,reductions,type
net zero emissions by 2050 scenario,world,total,total aviation (domestic and bunkers),2050,199.44,0.659838652,weo
stated policies scenario,world,total,total energy supply,2020,31904,0,weo
announced pledges scenario,world,total,total energy supply,2020,31904,0,weo
net zero emissions by 2050 scenario,world,coal,total final consumption,2020,4474.28,0,weo
net zero emissions by 2050 scenario,world,coal,total final consumption,2030,2835.23,0.366327096,weo
net zero emissions by 2050 scenario,world,coal,total final consumption,2040,1043.45,0.766789293,weo
net zero emissions by 2050 scenario,world,coal,total final consumption,2050,72.92,0.983702406,weo
net zero emissions by 2050 scenario,world,oil,total final consumption,2020,9080.06,0,weo
net zero emissions by 2050 scenario,world,oil,total final consumption,2030,7162.05,0.211233186,weo
net zero emissions by 2050 scenario,world,oil,total final consumption,2040,2864.5,0.684528516,weo
net zero emissions by 2050 scenario,world,oil,total final consumption,2050,650.79,0.928327566,weo
net zero emissions by 2050 scenario,world,natural gas,total final consumption,2020,3320.85,0,weo
net zero emissions by 2050 scenario,world,natural gas,total final consumption,2030,2490.73,0.249972146,weo
net zero emissions by 2050 scenario,world,natural gas,total final consumption,2040,1094.3,0.670475932,weo
net zero emissions by 2050 scenario,world,natural gas,total final consumption,2050,213.23,0.935790536,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,total final consumption,2020,113.5,0,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,total final consumption,2030,28.89,0.745462555,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,total final consumption,2040,-96.18,1.847400881,weo
net zero emissions by 2050 scenario,world,bioenergy and waste,total final consumption,2050,-204.82,2.804581498,weo
net zero emissions by 2050 scenario,world,total,total energy supply,2020,31904,0,weo
stated policies scenario,world,total,total energy supply,2030,33134.7,-0.0385751,weo
announced pledges scenario,world,total,total energy supply,2030,28803,0.097197844,weo
net zero emissions by 2050 scenario,world,total,total energy supply,2030,20590.4,0.354613842,weo
stated policies scenario,world,total,total energy supply,2040,30799.9,0.034606946,weo
announced pledges scenario,world,total,total energy supply,2040,18554.4,0.418430291,weo
net zero emissions by 2050 scenario,world,total,total energy supply,2040,5103.27,0.840042941,weo
stated policies scenario,world,total,total energy supply,2050,28946.4,0.092703109,weo
announced pledges scenario,world,total,total energy supply,2050,11346.5,0.64435494,weo
net zero emissions by 2050 scenario,world,total,total energy supply,2050,509.63,0.984026141,weo
stated policies scenario,world,total,total final consumption,2020,19521.6,0,weo
